City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,rawson,-43.3002,-65.1023,294.71,16,58,5.12,AR,2023-11-11
207,dwarka,22.2394,68.9678,300.32,61,0,5.12,IN,2023-11-11
208,san jose de jachal,-30.2406,-68.7469,298.06,7,0,9.53,AR,2023-11-11
209,palembang,-2.9167,104.7458,302.2,79,40,1.03,ID,2023-11-11
210,arteche,12.2645,125.4048,302.64,70,52,2.42,PH,2023-11-11
211,alghero,40.5589,8.3181,290.2,55,20,5.66,IT,2023-11-11
212,ust-nera,64.5667,143.2,245.48,96,55,1.92,RU,2023-11-11
213,kutum,14.2,24.6667,293.93,36,74,3.94,SD,2023-11-11
214,batticaloa,7.7102,81.6924,300.22,79,5,0.62,LK,2023-11-11
215,yuzhno-kurilsk,44.0306,145.8556,278.91,88,100,10.57,RU,2023-11-11
216,at taj,24.2049,23.2857,292.39,41,100,4.12,LY,2023-11-11
217,sen monorom,12.45,107.2,298.4,70,44,1.99,KH,2023-11-11
218,dano,11.15,-3.0667,299.09,66,67,2.6,BF,2023-11-11
219,pamukkale,37.9164,29.1173,288.67,66,21,1.96,TR,2023-11-11
220,tura,25.5198,90.2201,294.52,77,0,1.02,IN,2023-11-11
221,andergrove,-21.0833,149.1833,303.51,64,3,5.93,AU,2023-11-11
222,eyl,7.9803,49.8164,299.08,81,96,3.65,SO,2023-11-11
223,bambanglipuro,-7.95,110.2833,302.46,63,44,3.38,ID,2023-11-11
224,zhangatas,43.5667,69.75,281.31,34,100,3.16,KZ,2023-11-11
225,dinguiraye,11.3,-10.7167,295.2,44,100,1.4,GN,2023-11-11
226,guangyuan,32.442,105.823,284.89,81,100,2.68,CN,2023-11-11
227,hasaki,35.7333,140.8333,287.37,63,100,10.64,JP,2023-11-11
228,sao felix do xingu,-6.6447,-51.995,297.45,75,5,0.57,BR,2023-11-11
229,west island,-12.1568,96.8225,301.14,74,75,5.66,CC,2023-11-11
230,markovo,57.3206,107.0881,262.04,77,44,1.1,RU,2023-11-11
231,kokstad,-30.5472,29.4241,290.11,38,37,2.61,ZA,2023-11-11
232,wayne,42.2506,-83.2833,280.23,60,100,5.66,US,2023-11-11
233,velez,6.0134,-73.6735,287.52,100,100,0.94,CO,2023-11-11
234,gimbi,9.1667,35.8333,285.95,94,93,1.12,ET,2023-11-11
235,pocito,-31.6833,-68.5833,294.76,32,0,6.46,AR,2023-11-11
236,egilsstadir,65.2653,-14.3948,267.1,93,0,3.09,IS,2023-11-11
237,princeville,45.7668,-61.2985,276.75,85,100,5.14,CA,2023-11-11
238,nova sintra,14.8667,-24.7167,295.6,68,42,2.89,CV,2023-11-11
239,lazaro cardenas,17.9583,-102.2,299.75,82,4,0.59,MX,2023-11-11
240,kenora,49.8167,-94.4337,270.69,93,100,1.03,CA,2023-11-11
241,eraan,9.0629,117.7016,303.64,65,13,1.0,PH,2023-11-11
242,vorkuta,67.5,64.0,258.33,100,96,2.74,RU,2023-11-11
243,bonthe,7.5264,-12.505,298.68,87,100,1.93,SL,2023-11-11
244,vung tau,10.346,107.0843,301.71,75,100,7.06,VN,2023-11-11
